data_status,round_id,group,club_id,club_name,counted,source_match_id,source_date,source_competition_type,source_competition,home_club,away_club,goals_for,goals_against,is_home,yellow_cards,red_cards,base_points,bonus_points,penalty_points,fantasy_total,fantasy_explanation,source_url,notes
loaded,GS-F2,A,pe-alianza-lima,Alianza Lima,true,GS-F2-pe-alianza-lima-2026-04-26,2026-04-26,local-league,Liga 1 · F12,Atlético Grau,Alianza Lima,1,0,false,2,0,3,1,-0.5,3.5,"base=3(vic) CS=1 2A=-0,5 total=3,5",,
loaded,GS-F2,A,pe-alianza-lima,Alianza Lima,true,GS-F2-pe-alianza-lima-2026-05-02,2026-05-02,local-league,Liga 1 · F13,Alianza Lima,Deportivo Moquegua,2,1,true,2,0,3,0,-0.5,2.5,"base=3(vic) 2A=-0,5 total=2,5",,
loaded,GS-F2,A,bo-the-strongest,The Strongest,true,GS-F2-bo-the-strongest-2026-04-23,2026-04-23,local-league,Liga Profesional · F3,Real Tomayapo,The Strongest,0,0,false,2,0,1,1,-0.5,1.5,"base=1(emp) CS=1 2A=-0,5 total=1,5",,
loaded,GS-F2,A,bo-the-strongest,The Strongest,true,GS-F2-bo-the-strongest-2026-04-26,2026-04-26,local-league,Liga Profesional · F4,Real Oruro,The Strongest,3,2,false,1,0,3,0,-0.25,2.75,"base=3(vic) 1A=-0,25 total=2,75",,
loaded,GS-F2,B,cl-universidad-de-chile,Universidad de Chile,true,GS-F2-cl-universidad-de-chile-2026-04-25,2026-04-25,local-league,Liga de Primera · F9,Universidad de Chile,Universidad Católica,1,0,true,4,0,3.0,1.0,-1.0,3.0,base=3(vic) CS=1 4A=-1 total=3,,
loaded,GS-F2,B,cl-universidad-de-chile,Universidad de Chile,true,GS-F2-cl-universidad-de-chile-2026-05-02,2026-05-02,local-cup,Copa de La Liga · F4,Deportes La Serena,Universidad de Chile,5,0,false,4,0,3.0,5.0,-1.0,7.0,base=3(vic) CS=1 marg+4 4A=-1 total=7,,
loaded,GS-F2,B,ec-emelec,Emelec,true,GS-F2-ec-emelec-2026-04-21,2026-04-21,local-league,LigaPro Ecuador,Técnico Universitario,Emelec,1,0,false,2,0,3.0,1.0,-0.5,3.5,"base=3(vic) CS=1 2A=-0,5 total=3,5",,
loaded,GS-F2,B,ec-emelec,Emelec,true,GS-F2-ec-emelec-2026-04-25,2026-04-25,local-league,LigaPro Ecuador,Emelec,Liga de Quito,1,0,true,2,0,3.0,1.0,-0.5,3.5,"base=3(vic) CS=1 2A=-0,5 total=3,5",,
loaded,GS-F2,B,py-guarani,Guaraní,true,GS-F2-py-guarani-2026-04-26,2026-04-26,local-league,Primera División Paraguay,2 de Mayo,Guaraní,2,2,false,5,1,1.0,0.0,-2.25,-1.25,"base=1(emp) 5A=-1,25 1R=-1 total=-1,25",,
loaded,GS-F2,B,py-guarani,Guaraní,true,GS-F2-py-guarani-2026-05-03,2026-05-03,local-league,Primera División Paraguay,Guaraní,Nacional Asunción,0,1,true,1,0,0.0,0.0,-0.25,-0.25,"base=0(der) 1A=-0,25 total=-0,25",,
loaded,GS-F2,B,ar-argentinos-juniors,Argentinos Juniors,true,GS-F2-ar-argentinos-juniors-2026-04-27,2026-04-27,local-league,Liga Profesional Argentina,Huracán,Argentinos Juniors,2,1,false,2,0,3.0,0.0,-0.5,2.5,"base=3(vic) 2A=-0,5 total=2,5",,
loaded,GS-F2,B,ar-argentinos-juniors,Argentinos Juniors,true,GS-F2-ar-argentinos-juniors-2026-05-03,2026-05-03,local-league,Liga Profesional Argentina,Gimnasia La Plata,Argentinos Juniors,0,2,false,5,0,0.0,0.0,-1.25,-1.25,"base=0(der) 5A=-1,25 total=-1,25",,
loaded,GS-F2,C,ve-deportivo-tachira,Deportivo Táchira,true,GS-F2-ve-deportivo-tachira-2026-04-25,2026-04-25,local-league,Liga FUTVE,Deportivo Táchira,Carabobo,2,1,true,3,0,3.0,0.0,-0.75,2.25,"base=3(vic) 3A=-0,75 total=2,25",,
loaded,GS-F2,C,ve-deportivo-tachira,Deportivo Táchira,true,GS-F2-ve-deportivo-tachira-2026-05-02,2026-05-02,local-league,Liga FUTVE,Estudiantes de Mérida,Deportivo Táchira,1,2,false,4,1,0.0,0.0,-2.0,-2.0,base=0(der) 4A=-1 1R=-1 total=-2,,
loaded,GS-F2,C,co-once-caldas,Once Caldas,true,GS-F2-co-once-caldas-2026-04-26,2026-04-26,local-league,Liga BetPlay · F18,Águilas Doradas,Once Caldas,2,2,false,5,0,1.0,0.0,-1.25,-0.25,"base=1(emp) 5A=-1,25 total=-0,25",,
loaded,GS-F2,C,co-once-caldas,Once Caldas,true,GS-F2-co-once-caldas-2026-05-01,2026-05-01,local-league,Liga BetPlay · F19,Once Caldas,Atlético Nacional,1,0,true,3,0,3.0,1.0,-0.75,3.25,"base=3(vic) CS=1 3A=-0,75 total=3,25",,
loaded,GS-F2,C,ec-universidad-catolica,Universidad Católica,true,GS-F2-ec-universidad-catolica-2026-04-23,2026-04-23,local-league,LigaPro Ecuador,Universidad Católica,Macará,4,0,true,1,0,3.0,4.0,-0.25,6.75,"base=3(vic) CS=1 marg+3 1A=-0,25 total=6,75",,
