orden,club_participante,rival,local,visitante,fecha_aaaa_mm_dd,competicion,goles_local,goles_visitante,amarillas_participante,rojas_participante,url_fuente,notas
1,Atlético Nacional,Fortaleza FC,Fortaleza FC,Atlético Nacional,,,,,,,https://www.sofascore.com/es/football/match/fortaleza-fc-atletico-nacional/gxcstMK#id:16390700,
2,O'Higgins,Deportes Recoleta,Deportes Recoleta,O'Higgins,,,,,,,https://www.sofascore.com/es/football/match/deportes-recoleta-ohiggins/nnbsjLnc#id:16416692,
